product_id,lowest_level
1221,Ongezouten roomboter
307,Chips met een vormpje
255,Cacaopoeder
1089,Margarine
357,Cornflakes
964,Krokante muesli (noten)
2074,Zoete broodjes (glutenvrij)
321,Chocoladesnoepjes
1872,Verse Pizza
1114,"Melk chocolade met vulling, praliné"
1348,Pizza (dunne bodem)
1387,Poffertjes
1544,Schouderham (voorverpakt)
1373,Plakken spek (voorverpakt)
1786,Tortellini
1276,Paprika chips
886,Kleine salades
688,Hamburger (vers)
1733,Tartaar
1483,Roomschepijs
263,Candybars minis
971,Kruidenthee eenkops
184,Bloemkool (vers)
1948,Vlokken
1509,Salami (voorverpakt)
79,Appelmoes (in pot)
83,Appelsap & drank (drinkpakjes)
2035,Worst (rundvlees)
1053,Maaltijdpakketten (vers)
1250,Oven friet
1967,Vruchtenhagel
1189,Naturel chips
2090,Zoutjes-crackers
1761,Toiletblokken - vloeibaar
707,Hazelnootpasta
1156,Mousse - groot
1128,Mexicaans maaltijdpakket
1942,Vloeibaar wasmiddel (kleur)
1972,Vuilnisemmerzakken
385,Deospray vrouwen
1565,Shoarma
53,Alledaagse koeken
836,Kidneybonen (conserven)
1485,Rosti
270,Carpaccio (feestdagen)
1001,Lasagne maaltijden
1046,Luxe desserts (portieverpakking)
320,Chocoladepasta
1908,Vis cuisine (diepvries)
684,Halfvolle yoghurt
959,Kristalsuiker
699,Haricots verts (vers)
64,Amber bier
1253,Ovenklaar varkensvlees
187,Blond bier
122,Bakverbeteraars (glutenvrij)
1755,Tissues
201,Bonbons en pralines
1548,Schuurmiddel
890,Knakworst
561,Gemarineerde tonijn
2071,Zoete bakmix (glutenvrij)
999,Lange vingers
417,"Doosje, blikje pepermunt"
568,Gemengde sla
1507,Salade croutons
1780,Tonijn in olijfolie
2042,Wortelen (vers)
30,Abdijbier
1757,Toast-crackers
1770,Tomatenpuree (conserven)
569,Gepaneerde vis (diepvries)
531,Gebakken uitjes
1050,Maaltijd Kruidenmixen
1287,Pastasaus in pot
495,Frambozen (vers)
578,Gerookte zalm - stukken
435,"Droge worst - salami, fuet"
789,Kaasblokjes
1202,Noedelsoep
797,Kaaszoutjes
542,Gehakt (vegetarisch)
1055,Maaltijdsalade
817,Kattensnacks
1576,Sinas (fles)
1209,Notenmix (bakje)
1887,Verse sinaasappels
144,Belegen kaas (plakken)
2093,Zure gums
138,Batterij
843,Kinder ontbijtgranen
1973,WK en Oranje
1160,Mozzarella
441,Druk- en sluitzakjes
1696,Suikerbrood
1596,Smeerbare halvarine
1953,Volkoren brood (ovenvers)
1655,Spinazie (vers)
1460,Rode wijn (klein)
904,Koekjes met chocolade
1011,Leverworst - vegetarisch
1416,Pure paaseitjes
479,Filet americain (vegetarisch)
1664,Spruiten (vers)
724,Honing
1688,Stuk kookworst (voorverpakt)
1665,Stamppot
218,Bospeen
2010,Witlof
1946,Vloeibare zeep
1683,Stroopwafels
910,Koffiebonen (regular)
196,Boerenkool (vers)
6,Aardappel iets kruimig - met schil
210,Borrelhapjes met vlees
76,Aperitiefhapjes met vlees
1957,Volle melk (vers)
1307,Pepsels
1487,Rosé wijn (klein)
1517,Saucijzenbroodje
1651,Sperziebonen (vers)
1585,Slaatjes
1043,Luxe chips
1709,"Syrah, Shiraz (Zuid Afrika)"
1571,Sinaasappelsap & drank  (ongekoeld)
119,Bakje preparé (versafdeling)
1889,Verse snijbonen (gesneden)
966,Kroket (oven)
626,Granola (fruit)
269,Carmenère (Chili)
1379,"Plantaardige, lactosevrije margarine"
10,Aardappelfriet (vers)
252,Cabernet Sauvignon (Italië)
1266,Pangasius (vers)
49,Alcoholvrij speciaalbier
1462,Roerbakmix (vers)
545,Gehaktballetjes
1150,Mosterd (grof)
1327,Pindakaas
1513,Sangiovese (Italië)
627,Granola (naturel)
1944,Vloeibare margarine
1251,Ovengroente
469,Extra vierge specialiteiten
1883,Verse olijven
127,Balsamico-azijn
1701,"Surinaams, Antilliaans frisdrank"
2008,Wit brood (dagvers)
1536,Schnitzel
33,Achterham (versafdeling)
1586,Sladressing
280,Cervelaat (voorverpakt)
239,Bruin brood (dagvers)
1368,Plakken kookworst (voorverpakt)
776,Jong belegen kaas (plakken)
1774,Tomatensoep in blik
85,Appelsap & drank (ongekoeld)
502,Frikandel (oven)
518,Fruitsalade (mix)
69,Andijvie (vers)
1988,Waterijsjes
1262,Paksoi
1131,Mie
1990,Watermeloen (stukjes)
858,Kipdrumsticks
1885,Verse rode druiven
1581,Siropen (suikerbewust)
865,Kipkluifjes
416,Donuts
1170,Muisjes
24,Aardappelschotel - Hollands
80,Appelmoes (kuipje)
460,Erwtensoep in blik
878,Kippensoep in blik
965,Kroket (frituur)
2013,Witte bonen (conserven)
911,Koffiebroodje
1003,Lasagnebladen (houdbaar)
768,Italiaanse mix
483,Flesjes water (koolzuurvrij)
318,Chocolademelk (pakken)
1361,Plakken boterhamworst (voorverpakt)
778,Jonge kaas (plakken)
407,Diverse smaken chips
508,Frisse fruitdrank (pakken)
1180,Naanbrood en pappadum
1420,Quiches
506,Frisse fruitdrank (drinkpakjes)
2039,Worstenbroodje
166,Bitterballen (oven)
1318,Pijnboompitten
453,Eikenbladsla
1370,Plakken leverworst (voorverpakt)
1916,Vissticks (diepvries)
1588,Slagroom spuitbussen
1107,Meergranen brood (ovenvers)
2051,Yorkham (versafdeling)
2005,Winegums
505,Frisdrank met fruit (fles)
1986,Water met smaak (koolzuurhoudend)
246,Burgers (diepvries)
1620,Soepgroente (vers)
1317,Picalilly saus
1782,Tonijn in water
849,Kinderkoekje
1016,Likkepot van de versafdeling
1848,Vanille yoghurt
1157,Mousse - portieverpakking
1167,Mueslibroodjes
1086,Mango stukjes
1168,Muffin
